subject,experiment_name,age,condition,trial_type,trial_index,choice_image,choice_audio,target_image,foil_image,test_audio,target_label,is_right,available_image1,available_image2,available_image3,available_image4
p103,1,4.09,active,test,33,stims/2.png,NA,stims/2.png,stims/1.png,stims/norm_where_soma.wav,soma,1,NA,NA,NA,NA
p103,1,4.09,active,test,34,stims/7.png,NA,stims/7.png,stims/4.png,stims/norm_where_noopy.wav,noopy,1,NA,NA,NA,NA
p103,1,4.09,active,test,35,stims/2.png,NA,stims/2.png,stims/1.png,stims/norm_where_soma.wav,soma,1,NA,NA,NA,NA
p103,1,4.09,active,test,36,stims/1.png,NA,stims/1.png,stims/2.png,stims/norm_where_tesser.wav,tesser,1,NA,NA,NA,NA
p103,1,4.09,active,test,37,stims/7.png,NA,stims/4.png,stims/7.png,stims/norm_where_roozer.wav,roozer,0,NA,NA,NA,NA
p103,1,4.09,active,test,38,stims/1.png,NA,stims/1.png,stims/2.png,stims/norm_where_tesser.wav,tesser,1,NA,NA,NA,NA
p104,1,6.38,active,fam-learning,1,stims/bear.png,stims/norm_that_bear.wav,NA,NA,NA,NA,NA,stims/bear.png,stims/cow.png,stims/penguin.png,stims/pig.png
p104,1,6.38,active,fam-learning,2,stims/cow.png,stims/norm_it_cow.wav,NA,NA,NA,NA,NA,stims/bear.png,stims/cow.png,stims/penguin.png,stims/pig.png
p104,1,6.38,active,fam-learning,3,stims/penguin.png,stims/norm_that_penguin.wav,NA,NA,NA,NA,NA,stims/bear.png,stims/cow.png,stims/penguin.png,stims/pig.png
p104,1,6.38,active,fam-learning,4,stims/pig.png,stims/norm_it_pig.wav,NA,NA,NA,NA,NA,stims/bear.png,stims/cow.png,stims/penguin.png,stims/pig.png
p104,1,6.38,active,familiar-test,5,stims/pig.png,NA,stims/pig.png,stims/bear.png,stims/norm_find_pig.wav,pig,1,NA,NA,NA,NA
p104,1,6.38,active,familiar-test,6,stims/penguin.png,NA,stims/cow.png,stims/penguin.png,stims/norm_where_penguin.wav,penguin,0,NA,NA,NA,NA
p104,1,6.38,active,learning,7,stims/1.png,stims/norm_it_beppo.wav,NA,NA,NA,NA,NA,stims/6.png,stims/1.png,stims/7.png,stims/5.png
p104,1,6.38,active,learning,8,stims/7.png,stims/norm_that_noopy.wav,NA,NA,NA,NA,NA,stims/6.png,stims/1.png,stims/7.png,stims/5.png
p104,1,6.38,active,learning,9,stims/5.png,stims/norm_it_kita.wav,NA,NA,NA,NA,NA,stims/6.png,stims/1.png,stims/7.png,stims/5.png
p104,1,6.38,active,learning,10,stims/6.png,stims/norm_that_soma.wav,NA,NA,NA,NA,NA,stims/6.png,stims/1.png,stims/7.png,stims/5.png
p104,1,6.38,active,learning,11,stims/1.png,stims/norm_it_beppo.wav,NA,NA,NA,NA,NA,stims/6.png,stims/1.png,stims/7.png,stims/5.png
p104,1,6.38,active,learning,12,stims/7.png,stims/norm_that_noopy.wav,NA,NA,NA,NA,NA,stims/6.png,stims/1.png,stims/7.png,stims/5.png
p104,1,6.38,active,learning,13,stims/5.png,stims/norm_it_kita.wav,NA,NA,NA,NA,NA,stims/6.png,stims/1.png,stims/7.png,stims/5.png
p104,1,6.38,active,learning,14,stims/6.png,stims/norm_that_soma.wav,NA,NA,NA,NA,NA,stims/6.png,stims/1.png,stims/7.png,stims/5.png
p104,1,6.38,active,test,15,stims/6.png,NA,stims/6.png,stims/1.png,stims/norm_where_soma.wav,soma,1,NA,NA,NA,NA
p104,1,6.38,active,test,16,stims/5.png,NA,stims/5.png,stims/7.png,stims/norm_find_kita.wav,kita,1,NA,NA,NA,NA
p104,1,6.38,active,test,17,stims/5.png,NA,stims/7.png,stims/5.png,stims/norm_find_noopy.wav,noopy,0,NA,NA,NA,NA
p104,1,6.38,active,test,18,stims/1.png,NA,stims/1.png,stims/6.png,stims/norm_where_beppo.wav,beppo,1,NA,NA,NA,NA
p104,1,6.38,active,test,19,stims/6.png,NA,stims/1.png,stims/6.png,stims/norm_where_beppo.wav,beppo,0,NA,NA,NA,NA
p104,1,6.38,active,test,20,stims/5.png,NA,stims/7.png,stims/5.png,stims/norm_find_noopy.wav,noopy,0,NA,NA,NA,NA
