subject,age_group,experiment_name,sampling_condition,trial_type,label1,label2,image1,image2,image3,image4,image5,image6,image7,image8,choice_image,random_image,random_image1,random_image2,choice_label,random_label,random_label1,random_label2,target_image,target_label,is_right,trial_index
p397175,adults,Crossact_active_passive,passive,learning,roozer,sibu,stims/29.png,stims/6.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
p397175,adults,Crossact_active_passive,passive,learning,kita,manu,stims/1.png,stims/12.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
p397175,adults,Crossact_active_passive,passive,learning,roozer,sibu,stims/29.png,stims/6.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
p397175,adults,Crossact_active_passive,passive,learning,tesser,guffi,stims/4.png,stims/7.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
p397175,adults,Crossact_active_passive,passive,learning,guffi,finna,stims/9.png,stims/7.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
p397175,adults,Crossact_active_passive,passive,learning,finna,tesser,stims/4.png,stims/9.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
p397175,adults,Crossact_active_passive,passive,learning,roozer,sibu,stims/29.png,stims/6.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
p397175,adults,Crossact_active_passive,passive,learning,manu,kita,stims/1.png,stims/12.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
p397175,adults,Crossact_active_passive,passive,learning,finna,deela,stims/9.png,stims/8.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
p397175,adults,Crossact_active_passive,passive,learning,kita,manu,stims/1.png,stims/12.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
p397175,adults,Crossact_active_passive,passive,learning,guffi,tesser,stims/4.png,stims/7.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
p397175,adults,Crossact_active_passive,passive,learning,manu,kita,stims/1.png,stims/12.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14
p397175,adults,Crossact_active_passive,passive,learning,manu,kita,stims/1.png,stims/12.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
p397175,adults,Crossact_active_passive,passive,learning,roozer,sibu,stims/29.png,stims/6.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
p397175,adults,Crossact_active_passive,passive,learning,deela,guffi,stims/7.png,stims/8.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17
p397175,adults,Crossact_active_passive,passive,learning,guffi,finna,stims/9.png,stims/7.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
